RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306|021139|04665/02||BRUNSKOGEN'S BRUNO|15118/93|10611/98|1177766|HVIT/ORANGE|||||M|H|3544417|gf|03.09.2004|18.03.2002|
306|991124|04470/99||FREIA|15118/93|20211/95|1171892|LEVER/HVIT|||A||X|T|3476681|ton|30.03.2000|18.03.1999|
306|991124|04467/99||BUSTER|15118/93|20211/95|1171802|LEVER/HVIT|||A||X|H|3476678|ton|26.05.2000|18.03.1999|
306|991124|04468/99||SNORRE|15118/93|20211/95|1171832|HVIT/ORANGE|||A||X|H|3476680|ton|31.01.2001|18.03.1999|
306|991124|04466/99||BIRK|15118/93|20211/95|1171771|LEVER/HVIT|||B||M|H|3476677|#XU|27.01.2002|18.03.1999|
306|831066|04971/83||JEPPE|04915/77|09485/78|1187045|HVIT M/BRUNE TEGN||||||H|3256721||||
306|831066|04977/83||LONKA|04915/77|09485/78|1187215|HVIT M/BRUNE TEGN|||C|||T|1465269|#XU|21.03.1999||
306|951124|04982/95||BONNIE|12512/92|S58381/86|1187364|BRUN/HVIT|||A||M|T|3492526|#XU|31.10.2004|13.03.1995|
306|831066|04972/83||ROSA|04915/77|09485/78|1187074|HVIT M/BRUNE TEGN||||||T|8167432||||
306|831066|04976/83||RUDOLF|04915/77|09485/78|1187187|HVIT M/BRUNE TEGN||||||H|3291263||||
306|831066|04968/83||CHARLIE|04915/77|09485/78|1186954|HVIT M/BRUNE TEGN||||||H|8167387||||
306|831066|04974/83||HAPPY|04915/77|09485/78|1187131|HVIT M/BRUNE TEGN|||A|||T|8167452||||
306|831068|04985/83||VARFJELLETS CATO|04915/77|12642/76|1187448|BRUN OG HVIT|||D|||H|1463934||||
306|422532|05127/77||PEIK|&6343/71|10561/74|1191695|HVIT/KASTANJE||||||H|8169170||||
306|011304|05127/01||BRUNSKOGEN'S AYLA|02028/99|10611/98|1191685|HVIT/ORANGE|||B||M|T|3460789|gl|09.12.2002|29.03.2001|
306|061358|05139/06||HØGHALSENS WB RAGO|08667/01|10589/99|1192081|ORANGE/HVIT|||D||M|H|3649845||02.10.2007|29.06.2006|
306|422532|05126/77||TEIS|&6343/71|10561/74|1191664|HVIT/KASTANJE||||||H|3274103||||
306|061358|05140/06||HØGHALSENS WB REIKO|08667/01|10589/99|1192114|ORANGE/HVIT|||A||M|H|3648710||11.11.2007|29.06.2006|
306|422532|05128/77||YATZI|&6343/71|10561/74|1191726|HVIT/BRUN||||||T|1926435||01.02.2008||
306||&66/6281||SENTA|&64/8815|&64/7591|1015087|||||||T|||||
306||&66/6662||HEI|&59/2745|&61/7990|1015145|||||||H|||||
306||&66/8550||TOJA|||1015396|||||||T|||||
306||&67/4257||TINN|DK295172|&61/2702|1016304|||||||H|||||
306||&63/3498||LITA|||1010961|||||||T|||||
306||&63/5229||MISSI|||1011142|||||||T|||||
306||&62/2492||ROLL|&59/2745|&60/2339|1009970|||||||H|||||
306||&62/2497||PETTER|&59/2745|&60/2339|1009972|||||||H|||||
306||&62/3408||AVERILL'S WICKI|||1010050|||||||T|||||
306||&62/6570||BILL|||1010379|||||||H|||||
306||&62/627||AVERILLS LORD PEIK|&57/3923|&56/21|1010355|||||||H|||||
